date;time;users
2020-01-01;0;1603
2020-01-02;1;1692
2020-01-03;2;1666
2020-01-04;3;1591
2020-01-05;4;1720
2020-01-06;5;1616
2020-01-07;6;1636
2020-01-08;7;1630
2020-01-09;8;1609
2020-01-10;9;1589
2020-01-11;10;1732
2020-01-12;11;1709
2020-01-13;12;1726
2020-01-14;13;1805
2020-01-15;14;1637
2020-01-16;15;1713
2020-01-17;16;1733
2020-01-18;17;1762
2020-01-19;18;1779
2020-01-20;19;1822
2020-01-21;20;1849
2020-01-22;21;1805
2020-01-23;22;1803
2020-01-24;23;1827
2020-01-25;24;1741
2020-01-26;25;1740
2020-01-27;26;1841
2020-01-28;27;1851
2020-01-29;28;1784
2020-01-30;29;1862
2020-01-31;30;1874
2020-02-01;31;1825
2020-02-02;32;1879
2020-02-03;33;1866
2020-02-04;34;1906
2020-02-05;35;1929
2020-02-06;36;1868
2020-02-07;37;2010
2020-02-08;38;1890
2020-02-09;39;1952
2020-02-10;40;1939
2020-02-11;41;1920
2020-02-12;42;1966
2020-02-13;43;1894
2020-02-14;44;1992
2020-02-15;45;1931
2020-02-16;46;2043
2020-02-17;47;2035
2020-02-18;48;2039
2020-02-19;49;1969
2020-02-20;50;2019
2020-02-21;51;1993
2020-02-22;52;1993
2020-02-23;53;2012
2020-02-24;54;1997
2020-02-25;55;1947
2020-02-26;56;2070
2020-02-27;57;2120
2020-02-28;58;2004
2020-02-29;59;2114
2020-03-01;60;1985
2020-03-02;61;1953
2020-03-03;62;2114
2020-03-04;63;2072
2020-03-05;64;2119
2020-03-06;65;2030
2020-03-07;66;2156
2020-03-08;67;2127
2020-03-09;68;2120
2020-03-10;69;2113
2020-03-11;70;2167
2020-03-12;71;2057
2020-03-13;72;2107
2020-03-14;73;2121
2020-03-15;74;2199
2020-03-16;75;2205
2020-03-17;76;2232
2020-03-18;77;2213
2020-03-19;78;2142
2020-03-20;79;2193
2020-03-21;80;2162
2020-03-22;81;2263
2020-03-23;82;2167
2020-03-24;83;2210
2020-03-25;84;2203
2020-03-26;85;2216
2020-03-27;86;2203
2020-03-28;87;2221
2020-03-29;88;2295
2020-03-30;89;2245
2020-03-31;90;2247
2020-04-01;91;2199
2020-04-02;92;2191
2020-04-03;93;2311
2020-04-04;94;2218
2020-04-05;95;2266
2020-04-06;96;2300
2020-04-07;97;2247
2020-04-08;98;2220
2020-04-09;99;2187
2020-04-10;100;2288
2020-04-11;101;2246
2020-04-12;102;2258
2020-04-13;103;2298
2020-04-14;104;2257
2020-04-15;105;2209
2020-04-16;106;2293
2020-04-17;107;2378
2020-04-18;108;2290
2020-04-19;109;2302
2020-04-20;110;2339
2020-04-21;111;2376
2020-04-22;112;2299
2020-04-23;113;2431
2020-04-24;114;2271
2020-04-25;115;2319
2020-04-26;116;2380
2020-04-27;117;2359
2020-04-28;118;2386
2020-04-29;119;2394
2020-04-30;120;2393
2020-05-01;121;2368
2020-05-02;122;2399
2020-05-03;123;2396
2020-05-04;124;2400
2020-05-05;125;2390
2020-05-06;126;2431
2020-05-07;127;2353
2020-05-08;128;2380
2020-05-09;129;2402
2020-05-10;130;2333
2020-05-11;131;2422
2020-05-12;132;2342
2020-05-13;133;2482
2020-05-14;134;2426
2020-05-15;135;2415
2020-05-16;136;2418
2020-05-17;137;2518
2020-05-18;138;2427
2020-05-19;139;2484
2020-05-20;140;2372
2020-05-21;141;2478
2020-05-22;142;2366
2020-05-23;143;2417
2020-05-24;144;2498
2020-05-25;145;2499
2020-05-26;146;2508
2020-05-27;147;2363
2020-05-28;148;2413
2020-05-29;149;2450
2020-05-30;150;2405
2020-05-31;151;2416
2020-06-01;152;2417
2020-06-02;153;2473
2020-06-03;154;2493
2020-06-04;155;2530
2020-06-05;156;2511
2020-06-06;157;2480
2020-06-07;158;2493
2020-06-08;159;2408
2020-06-09;160;2498
2020-06-10;161;2557
2020-06-11;162;2462
2020-06-12;163;2539
2020-06-13;164;2441
2020-06-14;165;2503
2020-06-15;166;2481
2020-06-16;167;2453
2020-06-17;168;2485
2020-06-18;169;2534
2020-06-19;170;2447
2020-06-20;171;2373
2020-06-21;172;2483
2020-06-22;173;2578
2020-06-23;174;2569
2020-06-24;175;2450
2020-06-25;176;2499
2020-06-26;177;2434
2020-06-27;178;2554
2020-06-28;179;2491
2020-06-29;180;2457
2020-06-30;181;2515
2020-07-01;182;2557
2020-07-02;183;2581
2020-07-03;184;2487
2020-07-04;185;2541
2020-07-05;186;2564
2020-07-06;187;2516
2020-07-07;188;2550
2020-07-08;189;2575
2020-07-09;190;2525
2020-07-10;191;2546
2020-07-11;192;2465
2020-07-12;193;2529
2020-07-13;194;2603
2020-07-14;195;2585
2020-07-15;196;2583
2020-07-16;197;2525
2020-07-17;198;2409
2020-07-18;199;2481
2020-07-19;200;2435
2020-07-20;201;2629
2020-07-21;202;2486
2020-07-22;203;2597
2020-07-23;204;2600
2020-07-24;205;2585
2020-07-25;206;2491
2020-07-26;207;2569
2020-07-27;208;2517
2020-07-28;209;2500
2020-07-29;210;2451
2020-07-30;211;2546
2020-07-31;212;2471
2020-08-01;213;2607
2020-08-02;214;2582
2020-08-03;215;2417
2020-08-04;216;2511
2020-08-05;217;2502
2020-08-06;218;2456
2020-08-07;219;2507
2020-08-08;220;2566
2020-08-09;221;2632
2020-08-10;222;2568
2020-08-11;223;2478
2020-08-12;224;2521
2020-08-13;225;2572
2020-08-14;226;2517
2020-08-15;227;2561
2020-08-16;228;2634
2020-08-17;229;2440
2020-08-18;230;2596
2020-08-19;231;2444
2020-08-20;232;2484
2020-08-21;233;2541
2020-08-22;234;2601
2020-08-23;235;2536
2020-08-24;236;2547
2020-08-25;237;2525
2020-08-26;238;2547
2020-08-27;239;2560
2020-08-28;240;2544
2020-08-29;241;2495
2020-08-30;242;2509
2020-08-31;243;2469
2020-09-01;244;2479
2020-09-02;245;2649
2020-09-03;246;2481
2020-09-04;247;2511
2020-09-05;248;2485
2020-09-06;249;2519
2020-09-07;250;2502
2020-09-08;251;2425
2020-09-09;252;2492
2020-09-10;253;2420
2020-09-11;254;2536
2020-09-12;255;2516
2020-09-13;256;2511
2020-09-14;257;2495
2020-09-15;258;2573
2020-09-16;259;2454
2020-09-17;260;2554
2020-09-18;261;2493
2020-09-19;262;2489
2020-09-20;263;2544
2020-09-21;264;2546
2020-09-22;265;2515
2020-09-23;266;2388
2020-09-24;267;2460
2020-09-25;268;2434
2020-09-26;269;2524
2020-09-27;270;2424
2020-09-28;271;2517
2020-09-29;272;2492
2020-09-30;273;2496
2020-10-01;274;2441
2020-10-02;275;2485
2020-10-03;276;2549
2020-10-04;277;2485
2020-10-05;278;2450
2020-10-06;279;2518
2020-10-07;280;2380
2020-10-08;281;2472
2020-10-09;282;2251
2020-10-10;283;2481
2020-10-11;284;2382
2020-10-12;285;2375
2020-10-13;286;2400
2020-10-14;287;2426
2020-10-15;288;2374
2020-10-16;289;2394
2020-10-17;290;2431
2020-10-18;291;2365
2020-10-19;292;2378
2020-10-20;293;2467
2020-10-21;294;2406
2020-10-22;295;2388
2020-10-23;296;2403
2020-10-24;297;2410
2020-10-25;298;2336
2020-10-26;299;2435
2020-10-27;300;2371
2020-10-28;301;2383
2020-10-29;302;2411
2020-10-30;303;2339
2020-10-31;304;2417
2020-11-01;305;2374
2020-11-02;306;2375
2020-11-03;307;2389
2020-11-04;308;2350
2020-11-05;309;2319
2020-11-06;310;2386
2020-11-07;311;2388
2020-11-08;312;2453
2020-11-09;313;2344
2020-11-10;314;2330
2020-11-11;315;2421
2020-11-12;316;2396
2020-11-13;317;2363
2020-11-14;318;2335
2020-11-15;319;2322
2020-11-16;320;2370
2020-11-17;321;2313
2020-11-18;322;2400
2020-11-19;323;2331
2020-11-20;324;2245
2020-11-21;325;2241
2020-11-22;326;2322
2020-11-23;327;2353
2020-11-24;328;2272
2020-11-25;329;2307
2020-11-26;330;2331
2020-11-27;331;2253
2020-11-28;332;2188
2020-11-29;333;2279
2020-11-30;334;2304
2020-12-01;335;2314
2020-12-02;336;2283
2020-12-03;337;2307
2020-12-04;338;2255
2020-12-05;339;2259
2020-12-06;340;2156
2020-12-07;341;2290
2020-12-08;342;2198
2020-12-09;343;2217
2020-12-10;344;2247
2020-12-11;345;2230
2020-12-12;346;2211
2020-12-13;347;2207
2020-12-14;348;2217
2020-12-15;349;2100
2020-12-16;350;2189
2020-12-17;351;2199
2020-12-18;352;2220
2020-12-19;353;2176
2020-12-20;354;2098
2020-12-21;355;2135
2020-12-22;356;2181
2020-12-23;357;2171
2020-12-24;358;2067
2020-12-25;359;2161
2020-12-26;360;2110
2020-12-27;361;2175
2020-12-28;362;2131
2020-12-29;363;2094
2020-12-30;364;2180
2020-12-31;365;2175
